,Pre,PreN1,PreN2,PreN3,PreN4,PreN5,PreN6
original_shape_Elongation,0.7492570266607665,0.7564652752802451,0.7239762449894519,0.7558363716838246,0.7556611916762869,0.7727790065892884,0.8123996861152174
original_shape_Flatness,0.47258717396545563,0.38470893278116985,0.4242012129457036,0.4953867762985835,0.4330586804488886,0.38321026085361237,0.37574477495269587
original_shape_LeastAxisLength,12.74113050431349,10.429088283969211,12.821377713634726,12.496424911029267,12.697882638134084,12.17844159823752,11.392692998309506
original_shape_MajorAxisLength,26.960381504650865,27.10903593679091,30.224754956737527,25.22559242376167,29.321390405965413,31.780050907587064,30.32029653571039
original_shape_Maximum2DDiameterColumn,29.614185789921695,30.265491900843113,32.984845004941285,27.892651361962706,31.575306807693888,34.92849839314596,34.52535300326414
original_shape_Maximum2DDiameterRow,27.018512172212592,27.073972741361768,28.160255680657446,25.019992006393608,29.068883707497267,33.015148038438355,30.364452901377952
original_shape_Maximum2DDiameterSlice,31.240998703626616,31.827660925679098,34.9857113690718,30.0,34.20526275297414,37.013511046643494,34.88552708502482
original_shape_Maximum3DDiameter,31.38470965295043,31.843366656181317,35.11409973215888,30.066592756745816,34.26368339802363,37.322915213043046,35.59494346111537
original_shape_MeshVolume,4602.666666666667,3871.6666666666665,5648.458333333333,3973.8333333333335,5497.666666666667,6270.458333333333,5624.083333333333
original_shape_MinorAxisLength,20.200255283814627,20.50704433250659,21.882004599305155,19.066420251150998,22.157036815777467,24.558956169722148,24.632199388531436
original_shape_Sphericity,0.6648760567389704,0.6514168707135041,0.6490269673517455,0.6794922322070487,0.6638356966633016,0.6254392789558163,0.6217106554270155
original_shape_SurfaceArea,2012.5643710838326,1830.446734225953,2363.2409412339694,1785.552923232367,2269.215763609684,2629.249679440008,2459.9728378243617
original_shape_SurfaceVolumeRatio,0.4372605093606241,0.47278004327833484,0.4183868945775416,0.4493275820741602,0.4127597945085219,0.4193074157694493,0.43739978446698485
original_shape_VoxelVolume,4660.0,3905.0,5714.0,4036.0,5543.0,6337.0,5697.0
original_firstorder_10Percentile,-960.0,-980.0,-956.0,-942.0,-943.0,-935.0,-947.0
original_firstorder_90Percentile,-633.0,-708.2000000000003,-611.3000000000002,-576.0,-590.1999999999998,-593.0,-636.5999999999995
original_firstorder_Energy,3390373533.0,2998641784.0,4055476237.0,2736492841.0,3784773872.0,4289204279.0,4086219804.0
original_firstorder_Entropy,3.987493131631812,3.8956767613729624,4.083576611466827,4.1637157809845,4.112538189180618,4.036500083051559,3.8761217857635373
original_firstorder_InterquartileRange,112.25,105.0,117.0,116.0,106.0,101.0,91.0
original_firstorder_Kurtosis,11.49189356588337,13.397762350740795,11.638352097705544,10.936285668214506,9.972728039871873,11.915673912048822,10.883614558712527
original_firstorder_Maximum,231.0,181.0,310.0,274.0,147.0,322.0,120.0
original_firstorder_MeanAbsoluteDeviation,123.08406951684505,100.217659555283,126.00869830855912,129.78234602649493,121.47772306383018,123.96267647575976,107.57130534013189
original_firstorder_Mean,-830.0839055793991,-861.0591549295775,-818.0995799789989,-797.1672447968285,-803.7290276023814,-797.878333596339,-829.7444268913463
original_firstorder_Median,-894.0,-904.0,-880.0,-858.0,-858.0,-857.0,-882.0
original_firstorder_Minimum,-1019.0,-1020.0,-1024.0,-1012.0,-1024.0,-994.0,-1024.0
original_firstorder_Range,1250.0,1201.0,1334.0,1286.0,1171.0,1316.0,1144.0
original_firstorder_RobustMeanAbsoluteDeviation,53.47539029333332,47.66051405646695,56.10405327052805,57.23898406273173,52.864038251576964,50.70162530271129,46.378663641300555
original_firstorder_RootMeanSquared,852.9642246043709,876.297908289015,842.4629538836906,823.420318586113,826.3186010570157,822.7094990553376,846.9109585247434
original_firstorder_Skewness,2.818427709402209,2.9527297423776417,2.8062489521770657,2.715073308706286,2.5819778614245474,2.8671290791071775,2.7034755676620055
original_firstorder_TotalEnergy,3390373533.0,2998641784.0,4055476237.0,2736492841.0,3784773872.0,4289204279.0,4086219804.0
original_firstorder_Uniformity,0.09596216544788078,0.0940685060192373,0.08709885966821966,0.08183754534265937,0.08504650421552927,0.09218628249135301,0.10359806467926898
original_firstorder_Variance,38508.678152986795,26475.155783664864,40456.90590461881,42545.40488348913,36822.08064215385,40241.084613413725,28782.35771205086
original_glcm_Autocorrelation,111.17788437417312,75.12312142994014,123.1120007066774,138.75724732511128,130.04205001340816,121.43452604214593,99.69017065946325
original_glcm_ClusterProminence,416198.22574460355,210638.05162311855,490129.30711276014,485599.0818961576,358666.52734300087,515670.1738868595,232717.8007213124
original_glcm_ClusterShade,7472.086900474051,4177.946903378223,8292.888679296506,8327.416567972306,6726.48753230669,8651.839714221018,4748.300561442424
original_glcm_ClusterTendency,207.6651151846105,136.57949658465165,220.48007978429604,227.05999337473423,200.9926878898403,222.905125843165,152.75612363375052
original_glcm_Contrast,47.846782320850146,36.02928328994006,46.32298171000143,53.63061899002938,41.757525412805144,44.451884529753855,31.301622666550795
original_glcm_Correlation,0.6261605429803523,0.5846449582369211,0.6527311637658819,0.6171617787502129,0.6557884182780835,0.6680767630242728,0.6586720768854002
original_glcm_DifferenceAverage,3.809542482282144,3.282373395059286,3.7738918018046883,4.173218522470683,3.7096052638586126,3.6373412668001226,3.1416118182058486
original_glcm_DifferenceEntropy,3.3363708527915246,3.1738802946596536,3.339420201055177,3.4755708188246643,3.325529777225974,3.2641973231137027,3.113948630166443
original_glcm_DifferenceVariance,32.4859260526985,24.558879038642985,31.262481867461545,35.39216700970028,27.203529194905308,30.330910645348688,20.868776978183668
original_glcm_Id,0.4344547589323468,0.45153614818859916,0.4293070071882616,0.40276252467479573,0.42457120007364246,0.44084900866023224,0.46090683500869567
original_glcm_Idm,0.3723780403566994,0.3891605332709529,0.3644926183215637,0.3338175293633332,0.35896776455570323,0.3788738828681518,0.40211882549742317
original_glcm_Idmn,0.98434318010767,0.9871781066522588,0.9862751705929972,0.9831143172261059,0.9837407965490418,0.986349332991022,0.9870348349382988
original_glcm_Idn,0.9387073481577557,0.9440480749447819,0.9418771506715896,0.9342056139983208,0.934987044459597,0.9430575612348304,0.94281761866141
original_glcm_Imc1,-0.1659177963479591,-0.16191843451610563,-0.16691652327463175,-0.15763728209169117,-0.16119837021556954,-0.1753254149568004,-0.16441042912908765
original_glcm_Imc2,0.8376826179888142,0.8241165433517279,0.8438022001999766,0.8408015859495043,0.8351138032758164,0.8502002426586788,0.8253508456679223
original_glcm_InverseVariance,0.3435858508149682,0.3509468491593334,0.334699374779179,0.32028551224049345,0.3360612253960564,0.3496439112818606,0.36673377987006334
original_glcm_JointAverage,8.439314068145064,7.069938221089027,8.920273530346948,9.767155268116886,9.499046295015924,8.764644460892402,8.326157692397254
original_glcm_JointEnergy,0.0150967126454775,0.01454010585962605,0.012810172685579416,0.01030302733430364,0.011836447813494466,0.014103517715448695,0.01779933122679974
original_glcm_JointEntropy,7.380891423003325,7.168129346989313,7.54166798119717,7.728033278046226,7.608486277434821,7.430572339978903,7.127315583791042
original_glcm_MCC,0.686770936771488,0.6670903469353813,0.7092132034981946,0.6703314927588999,0.6997754621075643,0.7233974918591072,0.704658291939601
original_glcm_MaximumProbability,0.04050363218937285,0.03822694681093231,0.03451745863576788,0.025079747006090853,0.028527394225219486,0.04064139027129535,0.047219666390102694
original_glcm_SumAverage,16.878628136290125,14.139876442178052,17.840547060693886,19.534310536233786,18.998092590031785,17.5292889217848,16.652315384794512
original_glcm_SumEntropy,4.9529472241887715,4.826434932078041,5.047625381662249,5.1200783489076205,5.068413756159487,5.024667067823686,4.812141733684652
original_glcm_SumSquares,63.87797437636517,43.152194968647954,66.70076537357438,70.17265309119095,60.687553325661355,66.83925259322973,46.01443657507529
original_gldm_DependenceEntropy,6.9865902823225525,7.033916752375309,7.143396921798622,7.009833706048667,7.125883441795771,7.106379699178138,7.038513139518529
original_gldm_DependenceNonUniformity,457.0330472103004,366.83969270166455,567.8536926846342,464.2254707631318,572.7311924950388,612.8639734890327,516.4056520975952
original_gldm_DependenceNonUniformityNormalized,0.09807576120392714,0.09394102245881294,0.09937936518807039,0.11502117709691076,0.1033251294416451,0.09671200465346894,0.09064519081930757
original_gldm_DependenceVariance,11.06554108567113,12.418274610999719,10.38114847639477,7.146630277944485,9.135413163462577,10.190972516289522,11.954749487218145
original_gldm_GrayLevelNonUniformity,447.18369098712446,367.33751600512164,497.6828841442072,330.29633300297326,471.4127728666787,584.184472147704,590.1981744777953
original_gldm_GrayLevelVariance,61.677267218036796,42.40073355509614,64.85593098345852,68.06397102735441,58.98912629318374,64.39484775584897,46.20036826073262
original_gldm_HighGrayLevelEmphasis,130.80257510729615,92.50755441741357,142.19985999299965,160.8119425173439,146.9013169763666,138.44390089947925,115.55415130770581
original_gldm_LargeDependenceEmphasis,36.98369098712446,40.558514724711905,35.57402870143507,26.72001982160555,32.91665163268988,37.06154331702698,42.234684921888714
original_gldm_LargeDependenceHighGrayLevelEmphasis,1143.2373390557939,997.8903969270167,1375.06405320266,1404.636521308226,1722.6137470683746,1478.1314502130347,1644.6424433912587
original_gldm_LargeDependenceLowGrayLevelEmphasis,2.614713311863097,5.187365011867777,2.0083946542512714,1.0792907456300807,1.3198045690032592,2.169082111563769,1.9428104278481912
original_gldm_LowGrayLevelEmphasis,0.04742790696132375,0.08178697134770059,0.041432248326294926,0.031657626375581,0.0350063830203529,0.04636817093682792,0.038173133264563834
original_gldm_SmallDependenceEmphasis,0.2019648710582306,0.18632707650435662,0.20142132712809474,0.21962209542664762,0.1923230555108197,0.18349024237817801,0.18017043112006872
original_gldm_SmallDependenceHighGrayLevelEmphasis,79.71181530698858,53.28414860710405,81.97303467422427,91.14871596620591,72.70217671970265,72.62126157891943,58.38858479346457
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.003996320798719226,0.006272504466962656,0.004381217760208608,0.0035668676565464136,0.0038149257590741788,0.004429705454992778,0.0034357543026582726
original_glrlm_GrayLevelNonUniformity,345.95162202431607,287.0165437952704,388.5275978553001,270.05900418087936,373.94147017958727,450.9028654466034,442.0499475211946
original_glrlm_GrayLevelNonUniformityNormalized,0.08796092969603694,0.08801080561281169,0.08030834503168387,0.07699927908945142,0.07918748047461201,0.08465823128537918,0.09365293601147306
original_glrlm_GrayLevelVariance,69.28459007085647,47.82185898014331,72.58572619396908,74.81613105531761,65.47133716572671,72.62911818057377,52.569621640913404
original_glrlm_HighGrayLevelRunEmphasis,148.7545999777081,105.21086683869521,160.20984648307098,176.62513830134807,162.53193781864243,156.44323893598283,130.8479562208248
original_glrlm_LongRunEmphasis,1.6966955139514288,1.7246935387322406,1.6731626748711443,1.5308719595067468,1.6367864089741662,1.708793996814448,1.7911285660795857
original_glrlm_LongRunHighGrayLevelEmphasis,173.23942558029674,125.46159691689338,189.6063585343603,206.51065021008932,199.15016704012444,188.33146536608263,164.3564645242418
original_glrlm_LongRunLowGrayLevelEmphasis,0.09007470707286817,0.15982813715827282,0.07519837214064316,0.05126729293928905,0.05972954637597484,0.08410088315358771,0.07227324634331735
original_glrlm_LowGrayLevelRunEmphasis,0.04411244350821221,0.07533530113225954,0.03927391928428355,0.03048297402321653,0.03405169110945167,0.04439593179167131,0.036527142954105016
original_glrlm_RunEntropy,4.792692405092468,4.717774110536377,4.882060735036368,4.856777984234967,4.883289946924521,4.866135278990788,4.760513326025417
original_glrlm_RunLengthNonUniformity,2928.4714412249878,2376.454234348084,3618.7629291615735,2721.617415500501,3558.8709146507317,3925.5942865145826,3412.451431096265
original_glrlm_RunLengthNonUniformityNormalized,0.7413070701780574,0.7266614863879829,0.7451049125047642,0.7739200351745106,0.7505360118035321,0.7338537731316817,0.7202178791937203
original_glrlm_RunPercentage,0.8426543413667876,0.8344331724613413,0.8454134245173796,0.8683006785088053,0.8508999569796972,0.8390891103531153,0.8268184334535046
original_glrlm_RunVariance,0.2678899907295247,0.2760530618221099,0.2568052461309435,0.19486951198057595,0.2391760461072569,0.2685970136469828,0.3078331998423911
original_glrlm_ShortRunEmphasis,0.8834033276100742,0.876404814607564,0.8854397391371709,0.9007221841645487,0.8882939782746178,0.8794627756901332,0.8721804715630397
original_glrlm_ShortRunHighGrayLevelEmphasis,144.03032467897245,101.31458738039825,154.53891647020083,170.5665900692314,155.46972822938264,150.41185543254917,124.80854477245374
original_glrlm_ShortRunLowGrayLevelEmphasis,0.036736597424646605,0.061650058619873445,0.03326199271706246,0.02658195110505511,0.029549917556311294,0.037554948906205005,0.030593040683864647
original_glszm_GrayLevelNonUniformity,33.303405572755416,28.06394557823129,36.621251071122536,30.013874066168622,35.06255585344057,38.48844884488449,38.10985915492958
original_glszm_GrayLevelNonUniformityNormalized,0.03436883960036679,0.038182238881947335,0.03138067786728581,0.03203188267467302,0.03133383007456709,0.03175614591162086,0.03578390530979303
original_glszm_GrayLevelVariance,131.4385581509775,99.5114739229025,140.83424420051855,138.86269560770367,118.79324623590736,137.38248088422702,96.55459895523377
original_glszm_HighGrayLevelZoneEmphasis,420.2280701754386,307.97006802721086,440.9520137103685,435.90074706510137,408.4012511170688,432.38861386138615,349.4093896713615
original_glszm_LargeAreaEmphasis,1179.7997936016511,832.3251700680272,1020.8277634961439,552.145144076841,822.0330652368186,1684.6608910891089,1967.2685446009389
original_glszm_LargeAreaHighGrayLevelEmphasis,27471.909184726523,19698.46530612245,33309.12596401028,24273.13447171825,40749.75156389634,60064.14603960396,65443.50798122066
original_glszm_LargeAreaLowGrayLevelEmphasis,61.19835885249527,58.95244998437035,39.84817784586292,15.75162923223843,21.050817998496274,55.4603616996204,68.07205130826064
original_glszm_LowGrayLevelZoneEmphasis,0.01982065600659902,0.03604529283242359,0.02218473935213684,0.01732361946559353,0.02208514680217702,0.02571969315401269,0.01916572175620166
original_glszm_SizeZoneNonUniformity,463.77605779153765,334.3578231292517,565.2553556126821,423.56136606189966,470.6836461126005,531.1072607260726,489.52957746478876
original_glszm_SizeZoneNonUniformityNormalized,0.478613062736365,0.45490860289694107,0.48436620018224685,0.4520398784011736,0.42062881690134096,0.4382073108300929,0.45965218541294717
original_glszm_SmallAreaEmphasis,0.7188822420168118,0.7012040548514907,0.7229759955302683,0.6990481657667897,0.672991028112987,0.6880452425703365,0.7049599900192092
original_glszm_SmallAreaHighGrayLevelEmphasis,354.22682506691734,258.1904988867781,366.88645804042505,356.0466154202444,316.94611304397597,336.8420626306354,278.18734540794
original_glszm_SmallAreaLowGrayLevelEmphasis,0.009529377391744443,0.014820309613358477,0.01217366331522099,0.00782053892772835,0.00968501952791916,0.012044303150756464,0.009939445035647742
original_glszm_ZoneEntropy,6.660687967757798,6.514760085031842,6.801530211146144,6.796999303276551,6.871353916962722,6.905474566303857,6.629102013884644
original_glszm_ZonePercentage,0.20793991416309013,0.1882202304737516,0.20423521176058804,0.2321605550049554,0.20187624030308496,0.19125769291462838,0.18694049499736703
original_glszm_ZoneVariance,1156.6725284649735,804.0979962052849,996.8538596023611,533.5917600735334,797.4956063956631,1657.3231784193274,1938.6535793162734
original_ngtdm_Busyness,1.4151691329108262,1.2555352498229955,1.4532842179286785,1.0356583348145334,1.491324167861319,1.6391572307297346,1.6346059945787006
original_ngtdm_Coarseness,0.0016962761194712415,0.0021223208796180807,0.001482436853776703,0.0019528798358127131,0.001577546075730273,0.0013382387189230084,0.0014939045881179438
original_ngtdm_Complexity,3105.2917383929243,2637.759584898726,3321.034636055792,3450.0105641965793,2385.1872339045426,3187.0993899577675,2076.14943521566
original_ngtdm_Contrast,0.10705213024518888,0.07538984984348779,0.10236826986044466,0.12455882231449852,0.11637457249772273,0.09809845423774956,0.08234370816956038
original_ngtdm_Strength,5.84680902072514,6.613503237775,5.390204696553736,6.136598884165678,3.6327965761559065,5.073885610232817,3.962527663208031
