,Pre,PreN1,PreN2,PreN3,PreN4,PreN5,PreN6
original_shape_Elongation,0.6632064313164497,0.6801702823001192,0.6735619780232316,0.64598801733044,0.6410051204923342,0.6444887257870161,0.7007026867778224
original_shape_Flatness,0.47635501895003757,0.49193429138783934,0.4477699946947986,0.3953133519679801,0.42656974031283207,0.46639077194390477,0.510485870143227
original_shape_LeastAxisLength,19.61943414053112,17.528885535281145,19.71958758290322,19.596832494263523,18.685756710711367,17.946727336640603,18.86068635945547
original_shape_MajorAxisLength,41.186580092670134,35.63257500474068,44.039546679192185,49.57290816691373,43.804693452957665,38.48002236802221,36.946539488279534
original_shape_Maximum2DDiameterColumn,49.9799959983992,43.46262762420146,54.405882034941776,59.90826320300064,52.55473337388365,45.31004303683677,43.41658669218482
original_shape_Maximum2DDiameterRow,34.713109915419565,30.364452901377952,38.07886552931954,41.0,36.138621999185304,31.016124838541646,33.24154027718932
original_shape_Maximum2DDiameterSlice,44.721359549995796,38.01315561749642,48.84669896727925,52.392747589718944,45.35416188179427,42.44997055358225,41.78516483155236
original_shape_Maximum3DDiameter,59.61543424315552,50.93132631298737,63.96092557178953,69.97856814768362,60.241181927316134,54.872579673275794,53.68426212587819
original_shape_MeshVolume,11679.291666666666,7921.875,13782.5,16547.958333333332,12167.333333333334,8961.125,9412.708333333334
original_shape_MinorAxisLength,27.31520480138889,24.236218600054638,29.663364172483128,32.02350466004858,28.07903280494289,24.79994058422251,25.888539486580378
original_shape_Sphericity,0.5451109073851383,0.5544117145061891,0.5433877094061983,0.528352907141309,0.5381793069019349,0.5485898890703657,0.5368964875925593
original_shape_SurfaceArea,4566.781732425362,3466.3338100240703,5115.950268838266,5943.692080716528,4753.579192671218,3803.160751109705,4015.4722547162323
original_shape_SurfaceVolumeRatio,0.3910152997941823,0.4375648202002771,0.37119174814716244,0.3591797828463146,0.3906837317958921,0.42440661759653003,0.42660115585396324
original_shape_VoxelVolume,11748.0,7979.0,13828.0,16646.0,12239.0,9068.0,9458.0
original_firstorder_10Percentile,-960.0,-958.0,-970.0,-962.0,-960.0,-949.0,-951.0
original_firstorder_90Percentile,-407.6999999999989,-431.60000000000036,-373.6999999999989,-464.0,-401.0,-377.6999999999998,-378.6999999999989
original_firstorder_Energy,8561509827.0,5750713720.0,10220853033.0,12259501020.0,8838000645.0,6296150567.0,6601431784.0
original_firstorder_Entropy,3.94645804137875,3.8319595143531755,3.819024990152131,3.7464821824463486,3.8502888463809914,3.9931156030492723,3.9748766992865754
original_firstorder_InterquartileRange,104.0,101.5,92.0,89.0,107.0,116.0,108.0
original_firstorder_Kurtosis,9.127173828264509,7.689523894894979,7.4979860489482695,8.47767565902577,7.424375997730606,7.4738458940137935,7.281477985199009
original_firstorder_Maximum,518.0,147.0,225.0,259.0,176.0,229.0,190.0
original_firstorder_MeanAbsoluteDeviation,208.1095636617753,175.19924929522273,194.24895730211304,176.88589653164402,183.4842906571123,187.71477467505724,182.86616889592258
original_firstorder_Mean,-786.8298433775961,-806.3037974683544,-807.6464420017356,-812.5282950859065,-803.451507476101,-784.2094177326863,-789.161556354409
original_firstorder_Median,-911.0,-910.0,-923.0,-918.0,-913.0,-895.0,-896.0
original_firstorder_Minimum,-1024.0,-1023.0,-1024.0,-1017.0,-1024.0,-1014.0,-1001.0
original_firstorder_Range,1542.0,1170.0,1249.0,1276.0,1200.0,1243.0,1191.0
original_firstorder_RobustMeanAbsoluteDeviation,65.13857007777408,64.58402554633497,66.94093283829595,58.15383973076234,67.97488852139038,72.29518679644926,69.20800895452571
original_firstorder_RootMeanSquared,853.6762729566713,848.9588530826136,859.7335727408653,858.1860523759465,849.7751895552872,833.2624223836586,835.4479834504272
original_firstorder_Skewness,2.6647417822310207,2.399072135728313,2.3904107438990594,2.5555529332689297,2.359452558397799,2.349770283551219,2.322388411804238
original_firstorder_TotalEnergy,8561509827.0,5750713720.0,10220853033.0,12259501020.0,8838000645.0,6296150567.0,6601431784.0
original_firstorder_Uniformity,0.11786170052315284,0.1214368158828254,0.12532810430455607,0.13256005150339326,0.12119467755799013,0.1075312411891995,0.10745578017264874
original_firstorder_Variance,109661.97657958053,70605.32041545767,86849.04081970976,76281.07017740083,76583.547918105,79341.85369604384,75197.37102367207
original_glcm_Autocorrelation,256.1990334956488,183.80116555883367,209.25647682171285,190.8470485780381,197.54807808467558,216.11992003884532,205.11940026097923
original_glcm_ClusterProminence,3952958.73622645,1361127.91284391,2058119.4031572454,1791164.7221163127,1573450.1327892547,1709479.7870460488,1452489.0932180882
original_glcm_ClusterShade,44643.665638312,20463.109180168176,28447.3660227939,25029.676459624196,23121.196372577768,24342.90383041012,21756.84676042424
original_glcm_ClusterTendency,663.540332327319,421.7405645650633,527.0120704075057,462.62476240055037,462.87373270702926,477.49150562864907,451.4085659801695
original_glcm_Contrast,57.57811193083781,40.140960015450474,40.685435691656146,35.906964834080554,37.4385646964959,35.25021964344952,43.48280741665575
original_glcm_Correlation,0.841315664433982,0.8268927057260925,0.8575335906663215,0.8566302234997993,0.8510166923863219,0.8630172454521371,0.8249798481597619
original_glcm_DifferenceAverage,3.630975311524389,3.2210824286316817,3.0804671156102357,2.9042006537611846,3.1301768635732943,3.118069809583699,3.417177463920436
original_glcm_DifferenceEntropy,3.1554908760686073,3.0790759979308815,2.96791553999158,2.925104649140132,3.050383763867844,3.0685285922724628,3.1503089235948676
original_glcm_DifferenceVariance,43.37559011180271,29.196809753898837,30.490821356138284,26.87156835250768,27.072542386394307,24.99252916578784,31.12379386530773
original_glcm_Id,0.5038222789275175,0.5026056118334297,0.5287773948427268,0.5370703536977675,0.5034611409979678,0.4947451090543589,0.48480752608858224
original_glcm_Idm,0.4570492888318467,0.4547912585260383,0.485834457817516,0.4950069443869483,0.4559092393636772,0.44462542482969564,0.4343540256045486
original_glcm_Idmn,0.9873525232842582,0.9847925667462183,0.9868107277673518,0.9886157442587508,0.9866705943870393,0.9881175714127326,0.9846828304348925
original_glcm_Idn,0.9522368081993713,0.9444729302684473,0.9508579565787366,0.9538829869986448,0.94751041030194,0.9490148502049891,0.9433360910244528
original_glcm_Imc1,-0.2171121579523869,-0.2064844742409216,-0.22436348527161767,-0.22185597408817453,-0.20629228955445822,-0.2232116089781097,-0.19952460247368517
original_glcm_Imc2,0.8922059906694592,0.8828554006222069,0.892259060669346,0.888048800151735,0.8828654286338806,0.9038912027556266,0.8819943304665763
original_glcm_InverseVariance,0.3615662719198899,0.3723278153943461,0.3763445639373578,0.37570691903234515,0.37830756694985396,0.37373770373887516,0.37215100961623543
original_glcm_JointAverage,10.232057297637878,9.40176655339741,9.362923408999945,9.17387822836639,9.548684443103976,10.273639541205666,10.155113707943716
original_glcm_JointEnergy,0.027151638177009788,0.027074916993390836,0.031011413533042258,0.03430658991673814,0.027409153535055013,0.02269718984024036,0.021298478604146184
original_glcm_JointEntropy,7.0917080232119165,6.917561923972179,6.824219830778332,6.711987169698655,6.960891084115797,7.1338386725852905,7.200544431990905
original_glcm_MCC,0.8629769903172329,0.8470160604121323,0.8708054729002043,0.87064850470168,0.8646706338168259,0.8768247466152131,0.8378925616238793
original_glcm_MaximumProbability,0.08341281017929168,0.08380806202755885,0.09276715218407056,0.09879333041468323,0.08628588784383026,0.07057987771073206,0.06470436730187012
original_glcm_SumAverage,20.464114595275795,18.80353310679483,18.725846817999926,18.347756456732757,19.097368886207956,20.547279082411347,20.310227415887432
original_glcm_SumEntropy,4.963298859138513,4.84667135985622,4.8384626434341325,4.756181223358902,4.863434167174677,4.991397093932699,4.9918059182309555
original_glcm_SumSquares,180.27961106453907,115.47038114512847,141.9243765247904,124.63293180865774,125.07807435088125,128.18543131802468,123.72284334920639
original_gldm_DependenceEntropy,7.368174185037857,7.194128011041573,7.359615226483621,7.3150700104091655,7.224630681978296,7.325790653499008,7.298713379907116
original_gldm_DependenceNonUniformity,814.2090568607423,580.4144629652839,885.5059299971073,1024.852457046738,883.4645804395784,685.9872077635641,741.2023683654049
original_gldm_DependenceNonUniformityNormalized,0.06930618461531685,0.07274275760938512,0.06403716589507574,0.06156749111178289,0.07218437621044027,0.0756492289108474,0.0783677699688523
original_gldm_DependenceVariance,22.441332504209093,20.054699545700874,24.538207682985536,26.776517114070177,19.547748137245897,18.76346888645492,17.050061973915373
original_gldm_GrayLevelNonUniformity,1384.6392577459994,968.9443539290638,1733.0370263234017,2206.594617325484,1483.3016586322412,975.0932951036613,1016.3167688729118
original_gldm_GrayLevelVariance,175.475847032374,113.07616479346768,138.97188703392536,122.11197901618121,122.55809103543545,127.11295969150595,120.42643018353034
original_gldm_HighGrayLevelEmphasis,276.41436840313247,198.88983581902494,223.95740526468035,203.5309984380632,210.51058092981452,230.20666078517866,219.51289913300909
original_gldm_LargeDependenceEmphasis,71.29843377596187,64.90725654843965,81.42348857390802,87.54643758260242,65.08350355421194,60.54455227172475,55.94819200676676
original_gldm_LargeDependenceHighGrayLevelEmphasis,8605.270173646579,7724.053640807118,10492.840540931444,10440.806740358044,8245.68093798513,8561.793559770622,7746.259568619158
original_gldm_LargeDependenceLowGrayLevelEmphasis,4.998684472228362,4.174584423782911,7.09500205614605,6.159331200697363,4.361309727103144,3.1319992626381,2.8371316405412403
original_gldm_LowGrayLevelEmphasis,0.05092447583421895,0.04771499744025146,0.0664415976658806,0.05327507049690661,0.05136845927376075,0.03835185259577054,0.039943444424766245
original_gldm_SmallDependenceEmphasis,0.16252155206415994,0.16736051713018973,0.1503424958919433,0.14411403485032742,0.1632787103827616,0.1736932338610718,0.18022432695562476
original_gldm_SmallDependenceHighGrayLevelEmphasis,104.57731301029985,71.72960456860459,76.0176718673088,70.67058675098912,71.15893848586359,85.46451107032448,81.36213054961075
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.003144749598385388,0.0034370859852574033,0.003975513190182837,0.0031427348231075278,0.0038048553663575044,0.0029599556006042137,0.003671820485563126
original_glrlm_GrayLevelNonUniformity,885.8245601980982,641.6765077355586,1071.2807626680712,1326.1786989847667,969.1990351089169,659.6777408193194,705.948330996766
original_glrlm_GrayLevelNonUniformityNormalized,0.09750923692343726,0.10279356748091521,0.10302582300630177,0.10736899704718726,0.10146858491581005,0.09189648100866186,0.09335353645558848
original_glrlm_GrayLevelVariance,192.9381893532197,119.70669144459804,149.22013637590092,132.15716102076811,129.01694979199692,133.88998310305823,126.65806345521068
original_glrlm_HighGrayLevelRunEmphasis,317.8079571647623,220.27190956140518,253.0883968849128,232.01522496023384,231.74581387997523,253.5309482869334,239.5911338718585
original_glrlm_LongRunEmphasis,2.2637394242803626,2.1058474937092027,2.4509574389523476,2.5355743727426434,2.1236792870225285,2.0369075268942685,1.9656084538842458
original_glrlm_LongRunHighGrayLevelEmphasis,479.3849767811216,352.4136775217508,442.4514107772359,411.6642846901375,378.88206126188885,397.6714456353181,372.46123711235947
original_glrlm_LongRunLowGrayLevelEmphasis,0.1313907086233343,0.1125888535969498,0.18349611749952158,0.1534315624127326,0.12049899581077463,0.08704016096122759,0.08510961478006007
original_glrlm_LowGrayLevelRunEmphasis,0.04632774365968365,0.04399737495249871,0.06083426385531941,0.04844544120601242,0.04774499411875492,0.03545019806983003,0.03761956948281149
original_glrlm_RunEntropy,5.119482962471823,4.935196192944026,5.070933610742728,5.047436626476019,4.971409193131303,5.052857750498875,4.993867731158951
original_glrlm_RunLengthNonUniformity,5958.161365450743,4149.644604770975,6537.061092903241,7635.410273453527,6320.284648398728,4840.151587304976,5181.542337744491
original_glrlm_RunLengthNonUniformityNormalized,0.653326800461226,0.6630151509090031,0.625997838860652,0.6160909672431291,0.6599375647207866,0.6727037435534401,0.6836496035645072
original_glrlm_RunPercentage,0.7696236347921741,0.7808767244786795,0.7483756480719166,0.7386343681549736,0.7789223604241171,0.7898527365885106,0.7985832099809685
original_glrlm_RunVariance,0.5349279217578881,0.44816071895286874,0.6178854946962692,0.6605334702618493,0.4567027023041445,0.4158300038912542,0.38479010548576836
original_glrlm_ShortRunEmphasis,0.8340423747890847,0.8405146401656528,0.8177335448875548,0.8117896975610897,0.8387662016074995,0.8462151444703513,0.8526112712646182
original_glrlm_ShortRunHighGrayLevelEmphasis,291.5023586322735,199.87492683653804,225.84242330590126,206.87547710268169,208.9005845925241,230.56141015706197,218.3656597360299
original_glrlm_ShortRunLowGrayLevelEmphasis,0.03569864940530227,0.034534091815022844,0.04610478618099423,0.03629931581254575,0.037582751423741394,0.02804651482120623,0.030436562891095125
original_glszm_GrayLevelNonUniformity,55.581154415392206,45.94084507042253,62.84862385321101,74.00356718192627,64.35316336166194,47.85800970873787,53.692351274787534
original_glszm_GrayLevelNonUniformityNormalized,0.02742040178361727,0.03235270779607221,0.02882964396936285,0.029331576370164994,0.030383929821370136,0.029040054434913753,0.030420595623109087
original_glszm_GrayLevelVariance,244.01434068783803,143.9574469351319,172.84945290800437,165.58944967496024,149.37315500663854,154.9343242618296,151.57965347607316
original_glszm_HighGrayLevelZoneEmphasis,689.1889491859891,460.9478873239437,539.9761467889908,521.4867221561633,465.88715769593955,522.3962378640776,485.3818696883853
original_glszm_LargeAreaEmphasis,5194.77355698076,3694.393661971831,8105.595412844037,10824.240982956797,5058.78328611898,3749.1553398058254,3706.2787535410766
original_glszm_LargeAreaHighGrayLevelEmphasis,140807.28761716821,108972.5676056338,206496.72155963304,282257.60879904876,161330.80311614732,127083.33252427184,123959.04532577904
original_glszm_LargeAreaLowGrayLevelEmphasis,300.5206420674973,206.85781896278343,584.0306664222868,663.7450711206913,291.1248356894574,174.40528428342844,167.1022519192064
original_glszm_LowGrayLevelZoneEmphasis,0.018997702380022304,0.018796458180722304,0.026184433740838918,0.02037318427710168,0.02251189922181095,0.015547284414081257,0.01831315104486569
original_glszm_SizeZoneNonUniformity,941.3206709422792,653.7422535211267,1050.997247706422,1165.2401902497027,967.1123701605288,789.3737864077669,879.9099150141643
original_glszm_SizeZoneNonUniformityNormalized,0.46439105621227394,0.4603818686768498,0.48210882922312936,0.46184708293686194,0.45661584993414955,0.4789889480629654,0.4985325297530676
original_glszm_SmallAreaEmphasis,0.7084058504472793,0.7056207735251225,0.7217512221132684,0.7067897434053937,0.7026584029349427,0.7194139294922229,0.7337256036705675
original_glszm_SmallAreaHighGrayLevelEmphasis,522.1902200649747,346.24402710168033,417.21173025871127,401.8004501727065,351.6985592085273,404.1253244772328,377.11576936520356
original_glszm_SmallAreaLowGrayLevelEmphasis,0.009240157270654904,0.010654836388518649,0.013402078116214949,0.01111506961022567,0.01228982052156846,0.009362105577523176,0.011903361812609902
original_glszm_ZoneEntropy,7.066341181641537,6.779044741626808,6.8865395966140746,6.979766877979146,6.8791614222299495,6.82802523872379,6.7556917841574675
original_glszm_ZonePercentage,0.17254000680966974,0.1779671638049881,0.1576511426091987,0.15156794425087108,0.17305335403219219,0.18173797970886635,0.1866145062381053
original_glszm_ZoneVariance,5161.182754569601,3662.820342689943,8065.360250820639,10780.711322499672,5025.391476315694,3718.8786348854737,3677.563728462631
original_ngtdm_Busyness,2.5125410380161894,2.4903248838949206,3.4753257770967885,4.301974182548979,3.339998211556731,1.9875174285553652,2.621403971038309
original_ngtdm_Coarseness,0.0006867764693747746,0.000983561754840797,0.0006151612965519708,0.0005040496204382486,0.0006674471979212614,0.0010445677869229608,0.0008353113214381431
original_ngtdm_Complexity,4320.799375524627,2199.627603320898,2500.989369113083,2452.972626928408,2325.6931715472147,2334.1976745042534,2543.83179108819
original_ngtdm_Contrast,0.18898406823003897,0.1951251365070853,0.19040290484104547,0.15068900672589128,0.18418963373852898,0.16773931165337727,0.20281852234369457
original_ngtdm_Strength,4.954505701849602,3.247702501277751,2.6908710866923244,2.492504659475872,2.566982148829481,3.9771395344117617,2.860643316435228
